19,7,55,,200,1.782,271.2,356.5,91.8,0.76,0.3,2,1.1,0.7,1.1,0.4,0.9,0.8,0,0.1,0.6,0.7,0,0.3,3.2,8.3,11.5,2.6,7.5,6.7,2.9,1.6,2.7,2.5,0.6,1.5,2.2,1.1,0.3,18.6
19,7,59,,200.8,1.238,177.9,248.7,65.3,0.719,0.2,2.6,0.3,0.6,1.3,1,0.3,0.1,0.1,0.3,0.4,0.3,0.6,0.3,3.3,11.9,10,10,3.9,5,0.5,0.2,1.3,1.3,1.8,0.5,0.7,0.6,1.7,20
19,8,4,,199.7,1.939,306.5,387.4,102.5,0.796,0.3,2.3,1.3,0.8,1.3,0.6,1.1,0.8,0.3,0.2,0.8,0.7,0.2,0.2,3.7,8.9,2.3,4.7,3.1,2.6,1.5,0.6,1.3,1.1,0.9,0.4,0.2,0.2,0.4,11.5
19,8,8,,200.6,1.357,193.6,272.4,69.7,0.713,0.3,2.2,1.1,0.8,1.1,0.3,0.9,0.7,0.2,0.1,0.5,0.5,0.2,0.2,3.2,114.4,97.9,84.9,63.7,44.2,29.3,17.3,11,6.9,11.8,9.9,8.1,7.5,5.2,194
19,8,12,,200.5,1.384,209.1,277.6,74.1,0.755,0.2,1.8,1.1,0.7,1.1,0.3,0.8,0.6,0.2,0.2,0.5,0.3,0.3,0.1,3,7.9,11.5,8.3,4,5.5,1.1,1,2.2,0.6,1.3,1.7,0.8,0.8,1.7,18.1
19,8,16,,199.3,2.18,350.1,434.8,115.9,0.804,0.1,2.1,1,0.6,1.1,0.5,0.8,0.6,0.1,0.2,0.5,0.5,0.1,0.1,3.1,103.7,88.9,69.4,47.1,24.6,12.5,12,14.4,12.1,6.9,3.9,6.2,7.2,7.2,164.9
19,8,20,,200.8,1.253,175.3,251.8,63.1,0.702,0.3,2,1.1,0.6,1.1,0.4,0.8,0.6,0.2,0,0.5,0.3,0.2,0.1,3,10.3,3.2,3.1,2.2,3.3,2,0.4,0.6,0.3,1.1,0.5,0.3,0.6,0.2,12.3
19,8,24,,200.8,1.253,175.3,251.8,63.1,0.702,0.3,2,1.1,0.8,1.1,0.5,0.7,0.6,0.2,0.3,0.4,0.5,0.1,0.3,3.2,104.9,87.7,68.5,45,23.1,12,10.4,14.5,10.9,7,4.7,2.7,5.2,4.5,163.4
19,8,29,,199.9,1.825,280.9,364.9,95.2,0.766,0.2,1.9,1.3,0.7,1.3,0.5,0.8,0.7,0,0,0.5,0.4,0.3,0.1,3.2,10.1,3.1,3.1,1.3,2.6,2.1,0.4,0.5,0.2,0.9,0.2,0.5,0.2,0.6,11.9
19,8,33,,199.9,1.825,280.9,364.9,95.2,0.766,0.4,2.2,1,0.7,1,0.3,0.7,0.6,0.3,0.2,0.6,0.5,0.2,0.1,3.1,106.9,95,83,63.6,44.1,25.8,13,1.3,3.1,1,4,3.2,1.5,2.5,28
